;nomeCientifico;nomePopular;familia;categoria;clima;origem;altura;luminosidade;cicloDeVida
615;Pelargonium hortorum;Gerânio, Gerânio-ferradura;Geraniaceae;Flores Perenes;Oceânico, Subtropical, Tropical;África, África do Sul;0.3 a 0.4 metros, 0.4 a 0.6 metros;Sol Pleno;Perene
616;Pelargonium peltatum;Gerânio-pendente, Gerânio-hera, Pelargônio-pendente;Geraniaceae;Flores Perenes;Subtropical, Tropical;África;0.3 a 0.4 metros, 0.4 a 0.6 metros, 0.9 a 1.2 metros;Sol Pleno;Perene
617;Peltophorum dubium;Canafístula, Angico-amarelo, Farinha-seca, Faveira, Guarucaia, Ibirá-puitá, Sobrasil, Tamboril-bravo;Fabaceae;Árvores, Árvores Ornamentais;Equatorial, Subtropical, Tropical;América do Sul;acima de 12 metros;Sol Pleno;Perene
618;Pennisetum setaceum;Capim-do-texas, Capim-chorão;Poaceae;Folhagens, Forrações ao Sol Pleno;Continental, Equatorial, Mediterrâneo, Oceânico, Subtropical, Tropical;África, Ásia;0.6 a 0.9 metros, 0.9 a 1.2 metros;Sol Pleno;Perene
619;Penstemon x gloxinioides;Penstêmon, Pentstemo, Pentstemon;Plantaginaceae;Flores Perenes;Equatorial, Oceânico, Subtropical, Tropical;América do Norte, Estados Unidos, México;0.6 a 0.9 metros, 0.9 a 1.2 metros;Sol Pleno;Perene
620;Pentas lanceolata;Estrela-do-egito, Cacho-de-estrelas, Pentas, Show-de-estrelas, Silena;Rubiaceae;Arbustos, Arbustos Tropicais, Cercas Vivas, Flores Perenes;Equatorial, Subtropical, Tropical;África;0.6 a 0.9 metros, 0.9 a 1.2 metros;Sol Pleno;Perene
621;Peperomia caperata;Peperômia, Rabo-de-rato;Piperaceae;Folhagens, Forrações à Meia Sombra, Gramados e Forrações;Equatorial, Tropical;América do Sul, Brasil;0.1 a 0.3 metros, menos de 15 cm;Luz Difusa, Meia Sombra, Sombra;Perene
622;Peperomia sandersii;Peperômia-zebra, Peperômia;Piperaceae;Folhagens;Equatorial, Subtropical, Tropical;América do Sul, Brasil;0.1 a 0.3 metros;Luz Difusa, Meia Sombra;Perene
623;Peperomia scandens;Peperômia-filodendro, Peperômia;Piperaceae;Folhagens, Forrações à Meia Sombra;Equatorial, Subtropical, Tropical;América do Sul;0.6 a 0.9 metros;Luz Difusa, Meia Sombra;Perene
624;Pereskia aculeata;Ora-pro-nobis, Trepadeira-limão, Carne-de-pobre, Groselha-da-américa, Orabrobó, Lobodo, Lobrobô, Lobrobó, Rogai-por-nós, Rosa-madeira, Jumbeba, Azedinha, Surucucú, Lobolôbô, Espinho-de-santo-antônio;Cactaceae;Arbustos, Cercas Vivas, Folhas e Flores, Plantas Hortícolas, Trepadeiras;Equatorial, Mediterrâneo, Semi-árido, Subtropical, Tropical;América Central, América do Norte, América do Sul, Argentina, Brasil, México, Paraguai, Peru;6.0 a 9.0 metros, 9.0 a 12 metros;Meia Sombra, Sol Pleno;Perene
625;Peristeria elata;Orquídea-pomba, Orquídea-dove, Orquídea-do-espírito-santo, Divino-espírito-santo, Flor-do-divino-espírito-santo;Orchidaceae;Flores, Orquídeas;Equatorial, Tropical;América Central, América do Sul, Colômbia, Costa Rica, Equador, Panamá;0.9 a 1.2 metros, 1.2 a 1.8 metros;Luz Difusa, Meia Sombra;Perene
626;Persea americana;Abacate, Abacado, Abacateiro, Loiro-abacate, Louro-abacate, Pêra-abacate;Lauraceae;Árvores, Árvores Frutíferas;Equatorial, Subtropical, Tropical;América Central, América do Norte, México;acima de 12 metros;Sol Pleno;Perene
627;Petrea volubilis;Flor-de-são-miguel, Capela-de-viúva, Petréia, Touca-de-viúva, Viuvinha;Verbenaceae;Trepadeiras;Equatorial, Subtropical, Tropical;América do Sul, Brasil;9.0 a 12 metros;Sol Pleno;Perene
628;Petroselinum crispum;Salsa, Salsinha, Cheiro-verde, Perrexil, Cheiro, Salsa-cultivada, Salsa-das-hortas, Salsa-de-cheiro, Salsa-comum, Salsa-hortense, Salsa-vulgar;Apiaceae;Ervas Condimentares, Folhas e Flores, Medicinal, Plantas Hortícolas, Raízes e Rizomas;Mediterrâneo, Oceânico, Subtropical, Temperado, Tropical;África, Argélia, Europa, Grécia, Itália, Mediterrâneo, Tunísia;0.1 a 0.3 metros, 0.3 a 0.4 metros;Sol Pleno;Bienal
629;Petunia integrifolia;Petúnia-perene, ;Solanaceae;Flores Anuais, Flores Perenes;Continental, Equatorial, Oceânico, Subtropical, Temperado, Tropical;América do Sul;0.3 a 0.4 metros;Sol Pleno;Anual, Bienal, Perene
630;Petunia x hybrida;Petúnia-comum, Petúnia;Solanaceae;Flores Anuais;Mediterrâneo, Subtropical, Temperado;América do Sul, Argentina;0.1 a 0.3 metros;Meia Sombra, Sol Pleno;Anual
631;Phaius tankervilleae;Capuz-de-freira, Faio, Freirinha, Orquídea-da-terra, Orquídea-terrestre;Orchidaceae;Orquídeas;Equatorial, Oceânico, Subtropical, Tropical;Ásia, Austrália, China, Indonésia, Malásia, Oceania, Tailândia;0.4 a 0.6 metros, 0.6 a 0.9 metros;Luz Difusa, Meia Sombra;Perene
632;Phalaenopsis x hybridus;Falenópsis, ;Orchidaceae;Orquídeas;Equatorial, Oceânico, Subtropical, Tropical;Oceania, Polinésia;0.3 a 0.4 metros, 0.4 a 0.6 metros;Meia Sombra;Perene
633;Philodendron bipinnatifidum;Guaimbê, Banana-de-imbê, Banana-de-morcego, Banana-do-mato, Imbê;Araceae;Folhagens, Trepadeiras;Equatorial, Subtropical, Tropical;América do Sul, Brasil;3.6 a 4.7 metros;Meia Sombra, Sol Pleno;Perene
634;Philodendron hederaceum;Filodendro-brasil, Filodendro;Araceae;Folhagens, Forrações à Meia Sombra, Trepadeiras;Equatorial, Subtropical, Tropical;América Central, América do Norte, América do Sul, Antilhas, Bolívia, Brasil, México, Peru;1.2 a 1.8 metros, 1.8 a 2.4 metros;Luz Difusa, Meia Sombra;Perene
635;Philodendron martianum;Babosa-de-pau, Babosa-de-árvore;Araceae;Folhagens;Equatorial, Subtropical, Tropical;América do Sul, Brasil;0.3 a 0.4 metros;Meia Sombra;Perene
636;Philodendron xanadu;Xanadu, Filodendro-xanadu;Araceae;Arbustos, Arbustos Tropicais, Folhagens, Forrações à Meia Sombra, Gramados e Forrações, Plantas Tóxicas;Equatorial, Oceânico, Subtropical, Tropical;América do Sul, Brasil;0.6 a 0.9 metros, 0.9 a 1.2 metros;Luz Difusa, Meia Sombra, Sombra;Perene
637;Phlox drummondii;Flox, Chamas, Flocos, Flox-azul;Polemoniaceae;Flores Anuais;Continental, Mediterrâneo, Subtropical, Temperado, Tropical;América do Norte, Estados Unidos;0.1 a 0.3 metros;Sol Pleno;Anual
638;Phoenix canariensis;Tamareira-das-canárias, Palmeira-das-canárias, Palmeira-tamareira;Arecaceae;Palmeiras;Equatorial, Mediterrâneo, Oceânico, Subtropical, Tropical;Europa, Ilhas Canárias;acima de 12 metros;Sol Pleno;Perene
639;Phoenix roebelenii;Fênix, Palmeira-anã, Palmeira-fênix, Tamareira-anã, Tamareira-de-jardim;Arecaceae;Palmeiras;Equatorial, Oceânico, Subtropical, Tropical;Tailândia, Vietnã;1.2 a 1.8 metros, 1.8 a 2.4 metros, 2.4 a 3.0 metros, 3.0 a 3.6 metros;Meia Sombra, Sol Pleno;Perene
640;Phormium tenax;Fórmio, Cânhamo-da-nova-zelândia, Fibra-da-nova-zelândia, Linho-da-nova-zelândia;Hemerocallidaceae;Folhagens;Equatorial, Oceânico, Subtropical, Tropical;Nova Zelândia, Oceania;1.8 a 2.4 metros, 2.4 a 3.0 metros;Sol Pleno;Perene
641;Photinia x fraseri;Fotínia, ;Rosaceae;Arbustos, Cercas Vivas;Oceânico, Subtropical, Temperado, Tropical;Ásia, China, Japão;2.4 a 3.0 metros, 3.0 a 3.6 metros, 3.6 a 4.7 metros;Meia Sombra, Sol Pleno;Perene
642;Phyllostachys pubescens;Bambu-mossô, Mossô;Poaceae;Arbustos, Folhagens;Equatorial, Oceânico, Subtropical, Tropical;Ásia;acima de 12 metros;Meia Sombra, Sol Pleno;Perene
643;Physalis sp;Fisalis, Alquenquenje, Balão, Bate-testa, Bucho-de-rã, Camapú, Camapum, Camaru, Canapum, Capucho, Cerejas-de-judeu, Erva-noiva, Fisales, Físalis, Joá-de-capote, Juá-de-capote, Juá-poca, Juá-roca, Mata-fome, Saco-de-bode, Tomate-barrela, Tomate-capucho, Tomate-lagartixa;Solanaceae;Arbustos, Frutas e Legumes, Medicinal, Plantas Hortícolas;Equatorial, Subtropical, Tropical;África, América Central, América do Norte, América do Sul, Ásia, Europa, Oceania;0.9 a 1.2 metros;Meia Sombra, Sol Pleno;Anual
644;Pilea cadierei;Alumínio, Planta-alumínio, Piléia, Pílea-alumínio;Urticaceae;Folhagens, Forrações à Meia Sombra;Equatorial, Subtropical, Tropical;Ásia, Vietnã;0.1 a 0.3 metros;Meia Sombra;Perene
645;Pilea involucrata;Planta-da-amizade, Pílea, Lua-do-vale-verde, Madrepérola, Pilea, Planta-alumínio, Panamiga;Urticaceae;Folhagens, Forrações à Meia Sombra, Gramados e Forrações;Equatorial, Subtropical, Tropical;América Central, América do Sul;0.3 a 0.4 metros, 0.4 a 0.6 metros;Luz Difusa, Meia Sombra;Perene
646;Pilea microphylla;Brilhantina, Beldroega, Folha-gorda, Planta-artilheira;Urticaceae;Folhagens, Forrações à Meia Sombra;Equatorial, Subtropical, Tropical;América Central, América do Norte, América do Sul;0.1 a 0.3 metros;Meia Sombra, Sol Pleno;Perene
647;Pilea peperomioides;Planta-chinesa-do-dinheiro, Planta-da-amizade, Planta-missionária, Planta-panqueca;Urticaceae;Folhagens;Subtropical, Tropical;Ásia, China;0.1 a 0.3 metros, 0.3 a 0.4 metros;Luz Difusa, Meia Sombra, Sombra;Perene
648;Pistia stratiotes;Alface-d'água, Erva-de-santa-luzia;Araceae;Plantas Aquáticas, Plantas Daninhas, Plantas Flutuantes;Equatorial, Subtropical, Tropical;América Central, América do Norte, América do Sul;menos de 15 cm;Sol Pleno;Perene
649;Pittosporum tobira;Pitósporo-japonês, Lágrima-sabéia, Pau-de-incenso, Pitósporo;Pittosporaceae;Arbustos, Árvores, Árvores Ornamentais, Cercas Vivas;Continental, Mediterrâneo, Oceânico, Subtropical, Temperado, Tropical;Ásia, China, Japão;1.8 a 2.4 metros, 2.4 a 3.0 metros, 3.0 a 3.6 metros, 3.6 a 4.7 metros, 4.7 a 6.0 metros, 6.0 a 9.0 metros;Sol Pleno;Perene
650;Platanus x hispanica;Plátano, Plátano-comum, Plátano-de-sombra, Plátano-europeu, Plátano-de-londres, Plátano-híbrido;Platanaceae;Árvores, Árvores Ornamentais;Continental, Mediterrâneo, Subtropical, Temperado;Espanha, Europa, Inglaterra;acima de 12 metros;Sol Pleno;Perene
651;Platycerium bifurcatum;Chifre-de-veado, Samambaia-chifre-de-veado;Polypodiaceae;Folhagens;Equatorial, Oceânico, Subtropical, Tropical;Austrália, Ilhas da Sonda, Nova Caledônia, Nova Guiné, Oceania;0.4 a 0.6 metros;Luz Difusa, Meia Sombra;Perene
652;Platycodon grandiflorus;Campainha-da-china, Campainha-chinesa, Flor-balão, Platicodon;Campanulaceae;Flores Perenes;Continental, Mediterrâneo, Subtropical, Tropical;Ásia, China, Coréia do Norte, Coréia do Sul, Japão;0.6 a 0.9 metros;Sol Pleno;Perene
653;Plectranthus saccatus;Ametista, Planta-ametista;Lamiaceae;Flores, Flores Perenes;Mediterrâneo, Subtropical, Tropical;África, África do Sul;0.4 a 0.6 metros;Luz Filtrada, Meia Sombra;Perene
654;Plectranthus sp;Hera-sueca, ;Lamiaceae;Folhagens, Forrações à Meia Sombra;Equatorial, Oceânico, Subtropical, Tropical;Austrália, Ilhas Fiji, Oceania;0.6 a 0.9 metros;Meia Sombra;Perene
655;Plumbago auriculata;Bela-emília, Dentilária, Jasmin-azul, Plumbago;Plumbaginaceae;Arbustos, Arbustos Tropicais, Cercas Vivas;Oceânico, Subtropical, Tropical;África, África do Sul;0.9 a 1.2 metros, 1.2 a 1.8 metros, 1.8 a 2.4 metros, 2.4 a 3.0 metros;Meia Sombra, Sol Pleno;Perene
656;Plumeria rubra;Jasmim-manga, Árvore-pagode, Frangipane, Jasmim-de-caiena, Jasmim-de-são-josé, Jasmim-do-pará, Plumélia;Apocynaceae;Árvores, Árvores Ornamentais, Plantas Tóxicas;Equatorial, Oceânico, Subtropical, Tropical;América Central, América do Norte, América do Sul;4.7 a 6.0 metros;Sol Pleno;Perene
657;Poa pratensis;Grama-azul, Grama-azul-do-kentucky;Poaceae;Gramados;Mediterrâneo, Subtropical, Temperado;África, Ásia, Europa;0.1 a 0.3 metros, 0.3 a 0.4 metros, 0.4 a 0.6 metros, menos de 15 cm;Sol Pleno;Perene
658;Podocarpus macrophyllus;Pinheiro-de-buda, Pinheiro-budista, Podocarpo, Podocarpus;Podocarpaceae;Arbustos, Árvores, Árvores Ornamentais, Bonsai, Cercas Vivas;Oceânico, Subtropical, Temperado, Tropical;Ásia, China, Japão;4.7 a 6.0 metros;Meia Sombra, Sol Pleno;Perene
659;Podranea ricasoliana;Sete-léguas, ;Bignoniaceae;Trepadeiras;Equatorial, Subtropical, Tropical;Oceania;9.0 a 12 metros;Sol Pleno;Perene
660;Pogonatherum paniceum;Mini-bambu, Grama-de-gato, Mini-bambu, Bambu-alemão, Bambuza-mini, Taquarinha, Bambu-miniatura;Poaceae;Folhagens, Forrações à Meia Sombra, Forrações ao Sol Pleno, Gramados e Forrações, Plantas Aquáticas, Plantas Palustres;Equatorial, Mediterrâneo, Subtropical, Tropical;Ásia, Austrália, Ceilão, China, Índia, Indonésia, Malásia, Nepal, Oriente Médio, Península Arábica, Sri Lanka, Tailândia, Taiwan, Vietnã;0.3 a 0.4 metros, 0.4 a 0.6 metros;Meia Sombra, Sol Pleno;Perene
661;Polianthes tuberosa;Angélica, Angélica-de-bastão, Angélica-dos-jardins, Jacinto-da-índia, Tuberosa;Agavaceae;Bulbosas, Flores Perenes;Continental, Equatorial, Mediterrâneo, Oceânico, Subtropical, Temperado, Tropical;América do Norte, México;0.4 a 0.6 metros;Sol Pleno;Perene
662;Polygala myrtifolia;Arbusto-borboleta, Polígala;Polygalaceae;Arbustos, Cercas Vivas, Flores, Flores Perenes;Mediterrâneo, Oceânico, Subtropical, Tropical;África, África do Sul;0.6 a 0.9 metros, 0.9 a 1.2 metros, 1.2 a 1.8 metros;Meia Sombra, Sol Pleno;Perene
663;Polygonum capitatum;Tapete-inglês, ;Polygonaceae;Forrações à Meia Sombra, Forrações ao Sol Pleno;Continental, Mediterrâneo, Oceânico, Subtropical, Temperado, Tropical;Ásia, Himalaia, Índia;menos de 15 cm;Meia Sombra, Sol Pleno;Perene
664;Polyscias fruticosa;Árvore-da-felicidade-fêmea, Árvore-da-felicidade, Arália;Araliaceae;Arbustos, Arbustos Tropicais, Árvores, Árvores Ornamentais, Bonsai, Cercas Vivas, Folhagens, Medicinal;Equatorial, Subtropical, Tropical;Ásia, Índia, Malásia, Oceania, Polinésia;0.6 a 0.9 metros, 0.9 a 1.2 metros, 1.2 a 1.8 metros, 1.8 a 2.4 metros;Luz Difusa, Meia Sombra, Sol Pleno;Perene
665;Polyscias guilfoylei;Árvore-da-felicidade-macho, Árvore-da-felicidade, Arália-cortina;Araliaceae;Arbustos, Arbustos Tropicais, Árvores, Árvores Ornamentais, Bonsai, Cercas Vivas, Folhagens;Equatorial, Subtropical, Tropical;Oceania, Tailândia;1.2 a 1.8 metros, 1.8 a 2.4 metros, 2.4 a 3.0 metros, 3.0 a 3.6 metros, 3.6 a 4.7 metros;Luz Difusa, Meia Sombra, Sol Pleno;Perene
666;Populus nigra;Álamo, Álamo-europeu, Álamo-itálica, Álamo-negro, Álamo-piramidal, Choupo, Choupo-da-lombardia, Choupo-italiano, Choupo-negro;Salicaceae;Árvores, Árvores Ornamentais;Continental, Mediterrâneo, Subtropical, Temperado;África, Ásia, Europa;acima de 12 metros;Sol Pleno;Perene
667;Portulaca grandiflora;Onze-horas, Portulaca;Portulacaceae;Cactos e Suculentas, Flores Anuais, Forrações ao Sol Pleno;Continental, Equatorial, Mediterrâneo, Oceânico, Subtropical, Temperado, Tropical;Argentina, Brasil, Uruguai;0.1 a 0.3 metros, menos de 15 cm;Sol Pleno;Anual, Bienal, Perene
668;Primula obconica;Prímula, Pão-e-queijo, Primavera;Primulaceae;Flores Perenes;Subtropical, Temperado, Tropical;Ásia, China;0.1 a 0.3 metros, menos de 15 cm;Luz Difusa, Meia Sombra;Perene
669;Primula x polyantha;Prímula, Barral, Copinhos-de-leite, Flor-da-doutrina, Pão-de-leite, Pão-e-queijo, Páscoas, Primavera, Primaveras, Prímula-violeta, Queijadinho, Rosas-de-páscoa, Violeta-vermelha;Primulaceae;Flores Anuais, Flores Perenes;Mediterrâneo, Subtropical, Temperado, Tropical;Europa;0.1 a 0.3 metros;Luz Difusa, Meia Sombra;Perene
670;Prunus serrulata;Cerejeira-ornamental, Cerejeira, Cerejeira-branca, Cerejeira-do-japão, Cerejeira-japonesa, Cerejeira-ornamental-do-japão, Sakura;Rosaceae;Árvores, Árvores Ornamentais, Bonsai;Mediterrâneo, Subtropical, Temperado;Ásia, Japão;3.0 a 3.6 metros, 3.6 a 4.7 metros, 4.7 a 6.0 metros;Sol Pleno;Perene
671;Pseudosasa japonica;Bambu-japonês, Bambu-metake, Metake;Poaceae;Arbustos, Arbustos Tropicais, Cercas Vivas;Equatorial, Mediterrâneo, Oceânico, Subtropical, Temperado, Tropical;Ásia, Coréia do Norte, Coréia do Sul, Japão;2.4 a 3.0 metros, 3.0 a 3.6 metros, 3.6 a 4.7 metros, 4.7 a 6.0 metros;Meia Sombra, Sol Pleno;Perene
672;Psidium cattleyanum;Araçá, Araçá-amarelo, Araçá-comum, Araçá-da-praia, Araçá-de-comer, Araçá-de-coroa, Araçá-do-campo, Araçá-rosa, Araçá-vermelho;Myrtaceae;Arbustos, Arbustos Tropicais, Árvores, Árvores Frutíferas;Equatorial, Oceânico, Subtropical, Tropical;América do Sul, Brasil;1.2 a 1.8 metros, 1.8 a 2.4 metros, 2.4 a 3.0 metros, 3.0 a 3.6 metros, 3.6 a 4.7 metros, 4.7 a 6.0 metros, 6.0 a 9.0 metros;Sol Pleno;Perene
673;Psidium guajava;Goiaba, Araçá-das-almas, Araçá-goiaba, Araçá-guaçu, Araçá-mirim, Araçaíba, Araçauaçu, Goiaba-maçã, Goiabeira, Goiabeira-branca, Goiabeira-vermelha, Guaiaba, Guaiava, Guaiba, Guava, Guiaba, Mepera;Myrtaceae;Árvores, Árvores Frutíferas;Equatorial, Subtropical, Tropical;América Central, América do Sul;6.0 a 9.0 metros, 9.0 a 12 metros;Sol Pleno;Perene
674;Psychotria elata;Flor-do-beijo, Flor-de-lábios, Lábios-de-prostituta, Lábios-quentes, Planta-dos-lábios-quentes;Rubiaceae;Arbustos, Arbustos Tropicais;Equatorial, Tropical;América Central, América do Sul, Belize, Colômbia, Costa Rica, Equador, Honduras, Jamaica, México, Panamá;0.6 a 0.9 metros, 0.9 a 1.2 metros, 1.2 a 1.8 metros;Luz Difusa, Meia Sombra;Bienal, Perene
675;Pteris cretica;Samambaia-prata, ;Pteridaceae;Folhagens;Equatorial, Subtropical, Tropical;América Central, América do Sul;0.3 a 0.4 metros;Luz Difusa, Meia Sombra;Perene
676;Punica granatum;Romãzeira, Romã, Romeira;Lythraceae;Árvores, Árvores Frutíferas, Bonsai, Medicinal;Continental, Equatorial, Mediterrâneo, Subtropical, Tropical;Oriente Médio;2.4 a 3.0 metros, 3.0 a 3.6 metros, 3.6 a 4.7 metros;Sol Pleno;Perene
677;Pyracantha coccinea;Piracanta, Espinho-de-fogo, Espinho-perpétuo, Piricanto;Rosaceae;Arbustos, Bonsai, Cercas Vivas;Continental, Equatorial, Mediterrâneo, Subtropical, Temperado, Tropical;Ásia, Europa;2.4 a 3.0 metros, 3.0 a 3.6 metros, 3.6 a 4.7 metros;Sol Pleno;Perene
678;Pyrostegia venusta;Cipó-de-são-joão, Cipó-vermelho, Flor-de-são-joão;Bignoniaceae;Medicinal, Trepadeiras;Equatorial, Subtropical, Tropical;América do Sul, Brasil;9.0 a 12 metros;Sol Pleno;Perene
679;Quisqualis indica;Jasmim-da-índia, Arbusto-milagroso, Madagascar;Combretaceae;Arbustos, Trepadeiras;Equatorial, Subtropical, Tropical;Ásia, Índia;3.0 a 3.6 metros, 3.6 a 4.7 metros;Sol Pleno;Perene
680;Raphanus sativus;Rabanete, Rábano;Brassicaceae;Plantas Hortícolas, Raízes e Rizomas;Equatorial, Mediterrâneo, Subtropical, Temperado, Tropical;Ásia, Europa;menos de 15 cm;Sol Pleno;Anual
681;Ravenala madagascariensis;Árvore-do-viajante, Árvore-dos-viajantes, Palmeira-dos-viajantes;Strelitziaceae;Palmeiras, Plantas Esculturais;Equatorial, Subtropical, Tropical;África, Madagascar;6.0 a 9.0 metros, 9.0 a 12 metros, acima de 12 metros;Sol Pleno;Perene
682;Rhaphidophora tetrasperma;"Mini-costela-de-adão, Mini-monstera"", Filodendro ""Ginny"", Filodendro ""Piccolo"", Costela-de-adão-miniatura";Araceae;Folhagens;Equatorial, Subtropical, Tropical;Ásia, Malásia, Oceania, Tailândia;0.4 a 0.6 metros, 0.6 a 0.9 metros, 0.9 a 1.2 metros, 1.2 a 1.8 metros, 1.8 a 2.4 metros;Luz, Luz Difusa, Meia Sombra;Perene
683;Rhapis excelsa;Palmeira-rápis, Jupati, Palmeira-dama, Palmeira-ráfia, Ráfis, Rápis;Arecaceae;Arbustos, Cercas Vivas, Palmeiras;Equatorial, Subtropical, Tropical;Ásia, China;1.2 a 1.8 metros, 1.8 a 2.4 metros, 2.4 a 3.0 metros;Luz Difusa, Meia Sombra;Perene
684;Rhipsalis baccifera;Ripsális, Cacto-macarrão;Cactaceae;Cactos e Suculentas, Folhagens;Equatorial, Subtropical, Tropical;África, América Central, América do Norte, América do Sul, Ásia, Oceania;0.3 a 0.4 metros, 0.4 a 0.6 metros, 0.6 a 0.9 metros;Meia Sombra;Perene
685;Rhododendron simsii;Azaléia, Azaléia-belga;Ericaceae;Arbustos, Cercas Vivas, Flores Perenes;Mediterrâneo, Subtropical, Temperado;Ásia, China;0.4 a 0.6 metros, 0.6 a 0.9 metros, 0.9 a 1.2 metros;Sol Pleno;Perene
686;Ricinus communis;Mamona, Carrapateiro, Carrapato, Castor, Palma-de-cristo, Rícino, Mamoneira, Tortago;Euphorbiaceae;Arbustos, Arbustos Tropicais, Árvores, Árvores Ornamentais, Plantas Daninhas, Plantas Hortícolas, Plantas Tóxicas;Equatorial, Mediterrâneo, Subtropical, Temperado, Tropical;África, Ásia, Europa, Índia;0.9 a 1.2 metros, 1.2 a 1.8 metros, 1.8 a 2.4 metros, 2.4 a 3.0 metros, 3.0 a 3.6 metros, 3.6 a 4.7 metros;Sol Pleno;Perene
687;Rodriguezia venusta;Véu-de-noiva, Rodriguezia, Orquídea-rodriguezia;Orchidaceae;Flores, Orquídeas;Oceânico, Subtropical, Tropical;América do Sul, Brasil, Colômbia, Equador, Guiana, Peru, Suriname, Venezuela;0.1 a 0.3 metros;Luz Difusa, Meia Sombra;Perene
688;Rosa rugosa;Rosa-rugosa, Roseira-rugosa;Rosaceae;Arbustos, Cercas Vivas, Flores Perenes;Continental, Mediterrâneo, Oceânico, Subtropical, Temperado;Ásia, China, Coréia do Norte, Coréia do Sul, Japão, Sibéria;0.9 a 1.2 metros, 1.2 a 1.8 metros, 1.8 a 2.4 metros;Sol Pleno;Perene
689;Rosa x grandiflora;Rosa, Rosa-arbustiva, Roseira, Roseira-grandiflora;Rosaceae;Arbustos, Flores Perenes;Continental, Mediterrâneo, Oceânico, Subtropical, Temperado, Tropical;Ásia, China, Japão;0.9 a 1.2 metros, 1.2 a 1.8 metros;Sol Pleno;Perene
690;Rosmarinus officinalis;Alecrim, Alecrim-da-horta, Alecrim-de-cheiro, Alecrim-de-jardim, Alecrim-rosmarinho, Alecrim-rosmarino, Alecrinzeiro, Erva-da-graça, Libanotis, Rosmarino;Lamiaceae;Arbustos, Ervas Condimentares, Medicinal, Plantas Hortícolas;Continental, Mediterrâneo, Oceânico, Subtropical, Tropical;Europa;0.6 a 0.9 metros, 0.9 a 1.2 metros;Sol Pleno;Perene
691;Rotheca myricoides;Flor-borboleta, Borboleta-azul, Clerodendro-africano, Clerodendro-azul;Lamiaceae;Arbustos, Arbustos Tropicais, Cercas Vivas;Equatorial, Subtropical, Tropical;África, Quênia, Uganda;2.4 a 3.0 metros;Meia Sombra;Perene
692;Roystonea borinquena;Palmeira-imperial-de-porto-rico, Palmeira-coca-cola, Palmeira-imperial, Palmeira-real-de-porto-rico;Arecaceae;Árvores, Palmeiras;Equatorial, Tropical;América Central, Antilhas;acima de 12 metros;Sol Pleno;Perene
693;Roystonea oleracea;Palmeira-imperial, Palmeira-real;Arecaceae;Árvores, Palmeiras;Equatorial, Mediterrâneo, Oceânico, Subtropical, Tropical;América Central, América do Norte, América do Sul, Antilhas, Colômbia, Trindade e Tobago, Venezuela;acima de 12 metros;Sol Pleno;Perene
694;Roystonea regia;Palmeira-real-de-cuba, Palmeira-real, Palmeira-imperial-de-cuba, Palmeira-real-cubana, Palmeira-da-flórida, Palmeira-real-da-flórida;Arecaceae;Árvores, Palmeiras;Equatorial, Oceânico, Subtropical, Tropical;América Central, América do Norte, Antilhas, Belize, Cuba, Estados Unidos, Honduras, México, Panamá;acima de 12 metros;Sol Pleno;Perene
695;Rubus idaeus;Framboesa, ;Rosaceae;Arbustos, Árvores Frutíferas, Frutas e Legumes, Medicinal, Plantas Hortícolas;Temperado;Ásia, Europa;0.4 a 0.6 metros, 0.6 a 0.9 metros, 0.9 a 1.2 metros, 1.2 a 1.8 metros, 1.8 a 2.4 metros;Sol Pleno;Perene
696;Rubus rosifolius;Amora-vermelha, Framboesa-silvestre, Amora-do-mato, Moranguinho-silvestre, Moranguinho-do-mato, Framboesa-do-campo, Framboesa-vermelha, Amora-de-espinho, Moranguinho, Moranguinho-de-espinho, Morango-silvestre, Capinuríba, Amora-brava, Rosa-canina, Rosa-selvagem;Rosaceae;Arbustos, Frutas e Legumes, Plantas Hortícolas;Oceânico, Subtropical, Tropical;África, Ásia, Austrália, Ilhas Salomão, Indonésia, Maurícia, Nova Caledônia, Nova Guiné, Oceania, Vanuatu;1.2 a 1.8 metros;Meia Sombra, Sol Pleno;Perene
697;Rudbeckia hirta;Margarida-amarela, Susana-dos-olhos-negros;Asteraceae;Flores Anuais;Continental, Mediterrâneo, Oceânico, Subtropical, Temperado, Tropical;América do Norte, Estados Unidos;0.4 a 0.6 metros;Sol Pleno;Bienal
698;Ruellia coerulea;Ruélia-azul, ;Acanthaceae;Flores Perenes, Plantas Aquáticas, Plantas Palustres;Equatorial, Subtropical, Tropical;América do Norte, América do Sul, Argentina, Brasil, México, Paraguai;0.4 a 0.6 metros, 0.6 a 0.9 metros;Meia Sombra, Sol Pleno;Perene
699;Russelia equisetiformis;Flor-de-coral, Russélia;Plantaginaceae;Flores Perenes;Equatorial, Oceânico, Subtropical, Tropical;América do Norte, México;0.6 a 0.9 metros, 0.9 a 1.2 metros, 1.2 a 1.8 metros;Meia Sombra, Sol Pleno;Perene
700;Ruta graveolens;Arruda, Arruda-doméstica, Arruda-dos-jardins, Arruda-fedorenta, Ruda, Ruta-de-cheiro-forte;Rutaceae;Ervas Condimentares, Medicinal, Plantas Hortícolas;Continental, Equatorial, Mediterrâneo, Oceânico, Subtropical, Temperado, Tropical;Europa;0.4 a 0.6 metros;Sol Pleno;Perene
